거래처,구분,총계,토스도착,도착보장,당일도착,일반배송,CS처리건,비고
(주)이디야_저온,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)이디야_저온,냉장,4 / 8,4 / 8,0 / 0,0 / 0,0 / 0,,
코아마켓,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
코아마켓,냉장,2 / 2,2 / 2,0 / 0,0 / 0,0 / 0,,
(주)해성물산,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)해성물산,냉장,1 / 26,1 / 26,0 / 0,0 / 0,0 / 0,,
주식회사 하우투약(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 하우투약(저온),냉장,64 / 278,0 / 0,4 / 278,0 / 0,60 / 0,,
주식회사 케이프라이드,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 케이프라이드,냉장,1 / 17,0 / 12,1 / 5,0 / 0,0 / 0,,
약이되는밥상,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
약이되는밥상,냉장,0 / 5,0 / 5,0 / 0,0 / 0,0 / 0,,
크레세오,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
크레세오,냉장,1 / 19,0 / 0,1 / 19,0 / 0,0 / 0,,
주식회사 파파육가공,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 파파육가공,냉장,0 / 4,0 / 4,0 / 0,0 / 0,0 / 0,,
주식회사엔드리스익스피리언스,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사엔드리스익스피리언스,냉장,0 / 14,0 / 0,0 / 14,0 / 0,0 / 0,,
(주)늘푸른마을,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)늘푸른마을,냉장,0 / 1,0 / 1,0 / 0,0 / 0,0 / 0,,
심온,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
심온,냉장,0 / 4,0 / 4,0 / 0,0 / 0,0 / 0,,
저온_빙그레,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
저온_빙그레,냉장,3 / 57,0 / 0,0 / 57,0 / 0,3 / 0,,
저온_(주)마이노멀컴퍼니,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
저온_(주)마이노멀컴퍼니,냉장,1 / 0,0 / 0,0 / 0,0 / 0,1 / 0,,
위닝푸드,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
위닝푸드,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
와이즈바이옴 공식몰_저온,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
와이즈바이옴 공식몰_저온,냉장,1 / 9,0 / 0,1 / 9,0 / 0,0 / 0,,
농업회사법인주식회사한울,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
농업회사법인주식회사한울,냉장,0 / 7,0 / 7,0 / 0,0 / 0,0 / 0,,
티엠씨,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
티엠씨,냉장,0 / 3,0 / 3,0 / 0,0 / 0,0 / 0,,
주식회사 밀라노푸드시스템,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 밀라노푸드시스템,냉장,0 / 5,0 / 5,0 / 0,0 / 0,0 / 0,,
하모네스빠,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
하모네스빠,냉장,1 / 0,0 / 0,0 / 0,0 / 0,1 / 0,,
주식회사 도스트,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 도스트,냉장,1 / 0,0 / 0,0 / 0,0 / 0,1 / 0,,
(주)핸디엄(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)핸디엄(저온),냉장,0 / 3,0 / 0,0 / 3,0 / 0,0 / 0,,
주식회사 부일,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 부일,냉장,2 / 0,0 / 0,0 / 0,0 / 0,2 / 0,,
홈그로운 주스 코리아,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
홈그로운 주스 코리아,냉장,1 / 0,0 / 0,0 / 0,0 / 0,1 / 0,,
유한회사 서강컴퍼니_저온,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
